Record ID,Record Title,Video URL,Video Creation Date,Video Length,MetaData (keywords),Recomendation Grouping,Primary?,Video Info,MCQ #1,Q1 Correct Answer,Q1 Distracter A,Q1 Distracter B,Q1 Distracter C,Q1 Distracter D,MCQ#2,Q2 Correct Answer,Q2 Distracter A,Q2 Distracter B,Q2 Distracter C,Q2 Distracter D,MCQ#3,Q3 Correct Answer,Q3 Distracter A,Q3 Distracter B,Q3 Distracter C,Q3 Distracter D,MCQ#4,Q4 Correct Answer,Q4 Distracter A,Q4 Distracter B,Q4 Distracter C,Q4 Distracter D,MCQ#5,Q5 Correct Answer,Q5 Distracter A,Q5 Distracter B,Q5 Distracter C,Q5 Distracter D,Custom Target
11,Pizza Hut: Functions and Skills of Management,https://mediaplayer.pearsoncmg.com/assets/2013-intro_biz-ITB2012_mgtorg_pizhut_v4sm,2011,6:47,Business in Action; Bovee; Ebert; Business Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_11
12,ZipCar: Business Technology,https://mediaplayer.pearsoncmg.com/assets/2013-intro_biz-ZIPC_VID4_WEB640,2010,4:44,Ebert; Business Essentials; Kotler; Marketing Management; Solomon; Better Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_12
13,Capital Advisors: Securities and Investments,https://mediaplayer.pearsoncmg.com/assets/2013-intro_biz-ITB2012_securities_capadvisor_v5sm,2011,5:42,Bovee; Business in Action; Ebert; Business Essentials; Solomon; Better Business; Daniels; International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_13
14,Blackbird Guitars: Organizational Culture,https://mediaplayer.pearsoncmg.com/assets/2013-MGMT-OB-BLKB_VID1_WEB640,2010,8:14,Organizational Culture; Strategic Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_14
15,Starting and Operating a New Business,https://mediaplayer.pearsoncmg.com/assets/introbiz-2016-etext2-ebert_be10e_ch03_1,2016,5:20,Ebert; Business Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_15
16,Forms of Business Ownership,https://mediaplayer.pearsoncmg.com/assets/introbiz-2016-etext2-ebert_be10e_ch03_2,2016,6:03,Ebert; Business Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_16
17,Employee Behavior Across Cultures,https://mediaplayer.pearsoncmg.com/assets/introbiz-2016-etext2-ebert_be10e_ch04_1,2016,4:23,Ebert; Business Essentials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_17
18,BB15_Tailored Technology,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB15_TailoredTechnology,2016,3:25,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_18
19,BB13_Midas,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB13_Midas,2016,4:20,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_19
20,BB7_Addison Avenue Marketing,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB7_AddisonAvenueMarketing,2016,8:08,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_20
21,10--Derrick Morse,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-10_Derrick_Morse,2016,2:59,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_21
22,07--Brian Harstine,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-07_Brian_Harstine,2016,5:05,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_22
23,BB10_JohnTom'sBarbecue,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB10_JohnTomsBarbecue,2016,8:05,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_23
24,BB14_GW Hops And Honey,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB14_GWHops_Honey,2016,2:50,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_24
25,BB5_Rieth Brothers,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB5_RiethBrothers,2016,6:07,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_25
26,04--Arnie Malham,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-04_Arnie_Malham,2016,4:09,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_26
27,BB11_TheTraveler,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB11_TheTraveler,2016,4:05,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_27
28,Authorities Crack Down on Alleged Counterfeit Laundry Detergent,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_6_22_16_Authorities_Crack_Down_on_Alleged_Counterfeit_Laundry_Detergent,2016 June,7:01,Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_28
29,New York Millionaire Cal Harris Faces 4th Trial,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_4_3_16_NewYorkMillionaireCalHarrisFaces4thTrial,2016 April,2:22,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_29
30,"How China's Drop in Stock Market, Strong Jobs Report Could Affect US Economy",https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ThisWeek_1_10_16_HowChinasDropinStockMarketStrongJobsReportCouldAffectUSEconomy,2016 January,4:46,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_30
31,Irish Teen Creates High-Tech Sleeping Bag for the Homeless,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_4_25_16_IrishTeenCreatesHigh_TechSleepingBagfortheHomeless,2016 April,3:01,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_31
32,Meet the Company Behind the Coconut Water Craze,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_2_17_16_Meet_the_Company_Behind_the_Coconut_Water_Craze,2016 February,4:48,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_32
33,Texas Braces for Flooding After Tornadoes Move Out,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_5_27_16_TexasBracesforFloodingAfterTornadoesMoveOut,2016 May,3:00,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_33
34,Texas Couple Facing Lawsuit After Posting Review on Yelp,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_2_20_16_TexasCoupleFacingLawsuitAfterPostingReviewonYelp,2016 February,1:34,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_34
35,What Travelers Should Expect for Memorial Weekend,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_5_27_16_WhatTravelersShouldExpectforMemorialWeekend,2016 May,2:02,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_35
36,How Counterfeit Goods Make it From China to a Store Near You,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_5_16_15_HowCounterfeitGoodsMakeitFromChinatoaStoreNearYou,2015 May,1:47,Introduction to Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_36
37,Johnny Manziel Indicted for Assault Against Former Girlfriend,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_4_26_16_JohnnyManzielIndictedforAssaultAgainstFormerGirlfriend,2016 April,1:38,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_37
38,FDA Issues New Regulations for E-Cigarettes and Other Tobacco Products,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNewsDigital_5_5_16_FDAIssuesNewRegulationsforE_CigarettesandOtherTobaccoProducts,2016 May,1:22,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_38
39,Channing Tatums Epic Lip Sync Battle Beyonce Performance,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_1_9_16_Channing_Tatums_Epic_Lip_Sync_Battle_Beyonce_Performance,2016 January,2:19,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_39
40,Body Language May Help Combat Anxious Times,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_27_16_BodyLanguageMayHelpCombatAnxiousTimes,2016 March,3:26,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_40
41,How to Save Money on Online Grocery Shopping,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_1_12_16_How_to_Save_Money_on_Online_Grocery_Shopping,2016 January,5:05,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_41
42,For Women Only-Inside Exclusive Social Media Club,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_28_16_ForWomenOnly_InsideExclusiveSocialMediaClub,2016 March,,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_42
43,Virtual Reality at CES,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_1_8_16_Virtual_Reality_at_CES,2016 January,2:32,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_43
44,ACLU Sues Over Controversial North Carolina Transgender Bathroom Law,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNews_3_28_16_ACLUSuesOverControversialNorthCarolinaTransgenderBathroomLaw,2016 March,2:10,Introduction to Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_44
45,What to Know About the Abortion Case in Front of the Supreme Court,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_3_2_16_WhattoKnowAbouttheAbortionCaseinFrontoftheSupremeCourt,2016 March,8:09,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_45
46,Fixing a Leaky Washing Machine,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_3_27_16_FixingaLeakyWashingMachine,2016 March,2:01,Business Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_46
47,Pop News - Man Crates Take on Fathers Day Gifting,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_6_19_16_PopNews_ManCratesTakeonFathersDayGifting,2016 June,1:05,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_47
48,IKEA Recalls 29 Million Dressers,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_6_28_16_IKEARecalls29MillionDressers,2016 June,1:54,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_48
49,BB3_Avec Audio,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB3_AvecAudio,2016,8:39,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_49
50,BB4_MD Tekk,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB4_MDTekk,2016,5:25,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_50
51,BB6_Abrams Interior Painting,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB6_AbramsInteriorPainting,2016,3:31,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_51
52,BB8_Foisters Flowers,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB8_FoistersFlowers,2016,4:06,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_52
53,BB9_Ted Baker,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB9_TedBaker,2016,6:32,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_53
54,BB12_Mitch Castetter,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB12_MitchCastetter,2016,3:04,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_54
55,09--Tom Haarlander,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-09_Tom_Haarlander,2016,4:14,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_55
56,02--Derrick Morse,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-02_Derrick_Morse,2016,4:11,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_56
57,BB1_Lets Spoon,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB1_LetsSpoon,2016,3:39,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_57
58,BB2_Jacks Donuts,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-BB2_JacksDonuts,2016,6:39,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_58
59,01--Jonathan-Murrell,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-01_Jonathan_Murrell,2016,4:24,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_59
60,03--Kevin-Kazlauskas,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-03_Kevin_Kazlauskas,2016,2:59,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_60
61,05--James-Fields,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-05_James_Fields,2016,6:54,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_61
62,06--Jordan Stone,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-06_Jordan_Stone,2016,5:21,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_62
63,08--Scott Barstow,https://mediaplayer.pearsoncmg.com/assets/entrepreneurship-2016-08_Scott_Barstow,2016,4:28,Entrpreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_63
64,Donald Trump Uses Former Students to Fire Back in Trump U Controversy,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-WNT_6_1_16_DonaldTrumpUsesFormerStudentstoFireBackinTrumpUControversy,2016 June,3:23,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_64
65,Volkswagon Announces 15B Emissions Settlement,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABCNews_6_28_16_VolkswagonAnnounces15BEmissionsSettlement,2016 June,2:32,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_65
66,Texas Abortion Limits Struck Down by Supreme Court,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-SpecialReport_6_27_16_TexasAbortionLimitsStruckDownbySupremeCourt,2016 June,3:29,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_66
67,Supreme Court Upholds Lower Court Ruling on Affirmative Action,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-SpecialReport_6_23_16_SupremeCourtUpholdsLowerCourtRulingonAffirmativeAction,2016 June,2:23,Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_67
68,Markets Recover Slightly but Brexit Concerns Remain,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-ABC_News_Digital_6_28_16_Markets_Recover_Slightly_but_Brexit_Concerns_Remain,2016 June,1:32,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_68
69,Donald Trump Calls Brexit Result a Great Thing,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-GMA_6_24_16_Donald_Trump_Calls_Brexit_Result_a_Great_Thing,2016 June,2:28,International Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_69
70,How This NY Company is Changing the E-Commerce Game,https://mediaplayer.pearsoncmg.com/assets/ABC_News-2016-Nightline_6_1_16_HowThisNYCompanyisChangingtheE_CommerceGame,2016 June,6:24,Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,custom_target_70
